business_name,category,phone,email,website,state,city,suburb,postcode,lead_score,tier,first_seen_at
1ST CONTACT ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2606,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
22 DEGREES HEATING & COOLING PTY LTD,air conditioning,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
2S ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
8 9 CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
88 CONSTRUCTION SERVICES (ACT) PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
A & D CONSTRUCTIONS TRADING AS ADR HOMES,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A & G METAL ROOFING UNIT TRUST,roofer,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
A & P LEEMHUIS BUILDERS,builder,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A & R MAINTENANCE & PAINTING PTY LTD,painter,,,,ACT,Canberra,,2903,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A & Z PAINTING SERVICES PTY LTD,painter,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
A AND T CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2912,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A D DORMAN ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2604,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A PLUS PLUMBING (ACT) PTY LTD,plumbing,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A PLUS PLUMBING NEW ZEALAND PTY LTD,plumbing,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A PLUS PLUMBING TRADE STAFF (NSW) PTY LTD,plumbing,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
A PLUS PLUMBING TRADE STAFF (WA) PTY LTD,plumbing,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A&K CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2601,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A&R PERFECT PAINTING PTY LTD,painter,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
A.C.T. COOLING & HEATING PTY. LIMITED,air conditioning,,,,ACT,Canberra,,2607,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
